# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from high accuracy spot data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
 16     -7     -0.01792       0.04091
 16     -6      0.01749       0.04096
 16     -5     -0.02759       0.04104
 16     -4      0.01502       0.04183
 16     -3     -0.01405       0.04158
 16     -2     -0.00747       0.04225
 16     -1     -0.00470       0.04146
 16      0     -0.01762       0.04174
 16      1      0.00714       0.04206
 16      2     -0.00796       0.04167
 16      3     -0.02169       0.04175
 16      4     -0.01098       0.04149
 16      5     -0.02334       0.04117
 16      6     -0.00576       0.04021
 16      7      0.00056       0.04099
 16      8      0.01143       0.04153
 16      9      0.00670       0.04175
 16     10      0.02665       0.04145
 16     11      0.01159       0.04122
 16     12      0.00543       0.04139
 16     13      0.01008       0.04138
 16     14     -0.00808       0.04084
 16     15      0.00088       0.04131
 16     16     -0.00289       0.04190
 17    -17     -0.01799       0.03892
 17    -16      0.02560       0.03863
 17    -15     -0.01138       0.03819
 17    -14      0.00996       0.03819
 17    -13     -0.00278       0.03810
 17    -12      0.00305       0.03834
 17    -11     -0.02539       0.03873
 17    -10     -0.00960       0.03897
 17     -9     -0.00576       0.03876
 17     -8     -0.00124       0.03828
 17     -7      0.00747       0.03796
 17     -6     -0.02189       0.03820
 17     -5      0.00755       0.03850
 17     -4      0.02996       0.03887
 17     -3      0.02147       0.03868
 17     -2     -0.00493       0.03899
 17     -1     -0.03982       0.03851
 17      0     -0.03347       0.03867
 17      1     -0.00991       0.03914
 17      2      0.00201       0.03875
 17      3      0.01197       0.03885
 17      4     -0.00271       0.03841
 17      5     -0.00706       0.03847
 17      6     -0.01079       0.03751
 17      7     -0.01371       0.03780
 17      8     -0.01248       0.03839
 17      9     -0.01299       0.03858
 17     10      0.01730       0.03860
 17     11      0.00746       0.03852
 17     12     -0.00201       0.03851
 17     13      0.01144       0.03853
 17     14     -0.03476       0.03811
 17     15     -0.00848       0.03806
 17     16      0.00648       0.03865
 17     17     -0.01564       0.03879
 18    -18     -0.01306       0.03606
 18    -17      0.01299       0.03601
 18    -16     -0.00138       0.03547
 18    -15      0.00592       0.03561
 18    -14     -0.02293       0.03575
 18    -13     -0.01112       0.03558
 18    -12     -0.01741       0.03586
 18    -11     -0.02015       0.03637
 18    -10      0.00110       0.03606
 18     -9     -0.00730       0.03603
 18     -8      0.00836       0.03549
 18     -7     -0.00073       0.03516
 18     -6      0.00526       0.03575
 18     -5      0.02380       0.03584
 18     -4      0.00008       0.03607
 18     -3      0.00272       0.03613
 18     -2     -0.00338       0.03631
 18     -1     -0.03082       0.03581
 18      0      0.00691       0.03601
 18      1      0.00326       0.03645
 18      2      0.01494       0.03605
 18      3      0.01874       0.03611
 18      4      0.02413       0.03590
 18      5      0.01258       0.03606
 18      6     -0.00089       0.03534
 18      7     -0.00862       0.03530
 18      8     -0.02098       0.03562
 18      9      0.00377       0.03577
 18     10     -0.02520       0.03612
 18     11     -0.00183       0.03586
 18     12      0.00101       0.03597
 18     13      0.00777       0.03601
 18     14      0.00084       0.03561
 18     15     -0.01154       0.03553
 18     16      0.01306       0.03569
 18     17      0.00504       0.03606
 18     18     -0.01800       0.03631
 19    -19      0.00059       0.03372
 19    -18     -0.01257       0.03368
 19    -17      0.00905       0.03321
 19    -16      0.00964       0.03317
 19    -15     -0.01772       0.03336
 19    -14     -0.01175       0.03364
 19    -13     -0.02774       0.03335
 19    -12     -0.01564       0.03370
 19    -11     -0.00265       0.03395
 19    -10     -0.01949       0.03371
 19     -9     -0.01147       0.03343
 19     -8      0.00269       0.03310
 19     -7      0.00449       0.03292
 19     -6      0.01125       0.03358
 19     -5     -0.00720       0.03364
 19     -4      0.00401       0.03369
 19     -3     -0.01421       0.03381
 19     -2      0.00506       0.03389
 19     -1     -0.02375       0.03357
 19      0      0.00323       0.03354
 19      1      0.01973       0.03406
 19      2      0.01005       0.03349
 19      3      0.00930       0.03381
 19      4     -0.00652       0.03347
 19      5      0.00392       0.03362
 19      6      0.02114       0.03321
 19      7      0.00453       0.03313
 19      8     -0.01295       0.03304
 19      9      0.00228       0.03344
 19     10     -0.01741       0.03357
 19     11     -0.00119       0.03355
 19     12      0.00104       0.03370
 19     13     -0.00377       0.03365
 19     14      0.00795       0.03324
 19     15     -0.00872       0.03327
 19     16      0.00845       0.03334
 19     17     -0.01457       0.03338
 19     18     -0.02451       0.03369
 19     19     -0.01687       0.03385
 20    -20      0.00598       0.03172
 20    -19     -0.02168       0.03157
 20    -18     -0.00198       0.03135
 20    -17      0.00889       0.03113
 20    -16     -0.03076       0.03113
 20    -15      0.01278       0.03131
 20    -14     -0.00316       0.03146
 20    -13     -0.00159       0.03144
 20    -12     -0.01772       0.03171
 20    -11     -0.00205       0.03167
 20    -10     -0.00098       0.03155
 20     -9     -0.00987       0.03105
 20     -8     -0.01947       0.03089
 20     -7      0.00625       0.03103
 20     -6      0.01460       0.03152
 20     -5     -0.00416       0.03137
 20     -4      0.00289       0.03177
 20     -3      0.02177       0.03140
 20     -2     -0.01631       0.03184
 20     -1     -0.00072       0.03125
 20      0      0.00465       0.03160
 20      1     -0.01939       0.03168
 20      2      0.01814       0.03157
 20      3     -0.00147       0.03161
 20      4     -0.00758       0.03146
 20      5     -0.02246       0.03138
 20      6     -0.00838       0.03142
 20      7      0.01319       0.03109
 20      8      0.02337       0.03101
 20      9      0.00495       0.03128
 20     10      0.01878       0.03134
 20     11     -0.02100       0.03144
 20     12      0.02017       0.03152
 20     13      0.01708       0.03159
 20     14     -0.01090       0.03123
 20     15      0.00739       0.03133
 20     16     -0.00142       0.03127
 20     17      0.01463       0.03122
 20     18     -0.02701       0.03111
 20     19      0.00027       0.03156
 20     20      0.00984       0.03155
 21    -21     -0.00885       0.02968
 21    -20     -0.00391       0.02963
 21    -19     -0.00152       0.02932
 21    -18      0.00399       0.02933
 21    -17      0.00186       0.02930
 21    -16     -0.00800       0.02938
 21    -15      0.02554       0.02949
 21    -14     -0.00214       0.02967
