# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from all spot data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
 21      0      0.00658       0.03071
 21      1     -0.02609       0.03121
 21      2      0.01443       0.03038
 21      3      0.01968       0.03088
 21      4      0.02176       0.03064
 21      5     -0.01045       0.03028
 21      6     -0.02470       0.02994
 21      7     -0.00668       0.03003
 21      8      0.00250       0.02956
 21      9      0.02401       0.02968
 21     10      0.01452       0.02995
 21     11     -0.01095       0.03035
 21     12     -0.00190       0.03034
 21     13      0.01001       0.03053
 21     14      0.00527       0.03012
 21     15      0.01521       0.02976
 21     16     -0.01226       0.02967
 21     17      0.00607       0.02964
 21     18     -0.02086       0.02964
 21     19     -0.03148       0.02970
 21     20      0.01750       0.02982
 21     21      0.00881       0.03047
 22    -22     -0.04198       0.02868
 22    -21     -0.00338       0.02826
 22    -20     -0.00115       0.02809
 22    -19      0.01307       0.02821
 22    -18      0.01256       0.02806
 22    -17      0.01823       0.02817
 22    -16      0.00841       0.02816
 22    -15      0.04490       0.02868
 22    -14      0.02835       0.02890
 22    -13     -0.02297       0.02856
 22    -12     -0.01711       0.02876
 22    -11      0.01330       0.02860
 22    -10      0.00257       0.02817
 22     -9     -0.01249       0.02802
 22     -8      0.02119       0.02803
 22     -7      0.00662       0.02834
 22     -6      0.02908       0.02862
 22     -5      0.00119       0.02905
 22     -4     -0.02739       0.02907
 22     -3     -0.00483       0.02898
 22     -2     -0.00024       0.02942
 22     -1     -0.00694       0.02847
 22      0     -0.02294       0.02895
 22      1     -0.00563       0.02944
 22      2     -0.01838       0.02862
 22      3      0.00005       0.02916
 22      4     -0.00476       0.02892
 22      5      0.01672       0.02873
 22      6      0.00088       0.02836
 22      7     -0.01371       0.02840
 22      8     -0.00546       0.02821
 22      9      0.00420       0.02782
 22     10      0.03139       0.02824
 22     11      0.00056       0.02841
 22     12     -0.00322       0.02877
 22     13      0.01307       0.02879
 22     14      0.01399       0.02862
 22     15      0.00582       0.02837
 22     16      0.00291       0.02827
 22     17     -0.00893       0.02827
 22     18      0.00430       0.02804
 22     19     -0.00651       0.02808
 22     20      0.01867       0.02804
 22     21     -0.00020       0.02846
 22     22      0.02325       0.02885
 23    -23     -0.03186       0.02749
 23    -22      0.00029       0.02692
 23    -21      0.01454       0.02674
 23    -20     -0.00168       0.02673
 23    -19      0.00715       0.02641
 23    -18     -0.00281       0.02681
 23    -17      0.01247       0.02673
 23    -16      0.02481       0.02698
 23    -15     -0.01646       0.02732
 23    -14      0.00020       0.02714
 23    -13     -0.01323       0.02720
 23    -12      0.00174       0.02715
 23    -11     -0.00719       0.02703
 23    -10      0.01766       0.02655
 23     -9      0.02989       0.02642
 23     -8      0.00121       0.02669
 23     -7     -0.00048       0.02682
 23     -6      0.00200       0.02720
 23     -5     -0.01217       0.02748
 23     -4      0.00241       0.02754
 23     -3      0.00901       0.02739
 23     -2      0.00762       0.02776
 23     -1     -0.02053       0.02694
 23      0     -0.02275       0.02740
 23      1      0.02871       0.02784
 23      2     -0.00312       0.02716
 23      3     -0.01487       0.02758
 23      4     -0.01868       0.02737
 23      5     -0.00028       0.02727
 23      6      0.02185       0.02704
 23      7     -0.00883       0.02692
 23      8      0.00611       0.02686
 23      9     -0.00480       0.02659
 23     10     -0.01034       0.02660
 23     11      0.03824       0.02676
 23     12      0.01593       0.02710
 23     13     -0.00250       0.02730
 23     14      0.00966       0.02716
 23     15      0.00642       0.02711
 23     16     -0.00054       0.02691
 23     17     -0.02884       0.02675
 23     18      0.02923       0.02671
 23     19     -0.00644       0.02681
 23     20      0.02141       0.02669
 23     21     -0.01319       0.02655
 23     22      0.00454       0.02692
 23     23     -0.02558       0.02705
 24    -24      0.00851       0.02613
 24    -23      0.00089       0.02583
 24    -22      0.00981       0.02528
 24    -21      0.01481       0.02537
 24    -20     -0.01152       0.02534
 24    -19     -0.02529       0.02527
 24    -18      0.00121       0.02546
 24    -17      0.01300       0.02541
 24    -16      0.00831       0.02585
 24    -15     -0.02519       0.02584
 24    -14     -0.02210       0.02591
 24    -13      0.01861       0.02576
 24    -12      0.02586       0.02559
 24    -11      0.02774       0.02542
 24    -10     -0.00861       0.02517
 24     -9      0.00833       0.02527
 24     -8      0.00056       0.02538
 24     -7      0.00585       0.02556
 24     -6      0.01031       0.02585
 24     -5      0.00729       0.02614
 24     -4      0.01040       0.02609
 24     -3      0.01366       0.02602
 24     -2      0.00066       0.02630
 24     -1     -0.01987       0.02556
