# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from all spot and shiptrack data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
 16     12     -0.04854       0.02750
 16     13      0.03348       0.02760
 16     14     -0.03910       0.02813
 16     15      0.08417       0.02748
 16     16      0.04459       0.02745
 17    -17     -0.07000       0.02547
 17    -16      0.00205       0.02541
 17    -15     -0.00912       0.02598
 17    -14     -0.03267       0.02550
 17    -13      0.02895       0.02509
 17    -12     -0.01642       0.02520
 17    -11     -0.10171       0.02616
 17    -10     -0.02665       0.02631
 17     -9     -0.02154       0.02652
 17     -8      0.02017       0.02671
 17     -7     -0.02003       0.02716
 17     -6     -0.02482       0.02796
 17     -5      0.00871       0.02865
 17     -4      0.00665       0.02951
 17     -3      0.05196       0.03079
 17     -2     -0.03979       0.03109
 17     -1     -0.03365       0.02833
 17      0     -0.00922       0.03056
 17      1     -0.06952       0.03250
 17      2      0.03987       0.03075
 17      3     -0.00020       0.03042
 17      4      0.02871       0.02981
 17      5      0.06192       0.02843
 17      6     -0.04771       0.02778
 17      7     -0.00058       0.02673
 17      8     -0.04216       0.02666
 17      9     -0.01229       0.02671
 17     10     -0.04078       0.02628
 17     11      0.02022       0.02541
 17     12      0.02747       0.02557
 17     13      0.00046       0.02546
 17     14      0.03689       0.02567
 17     15     -0.02494       0.02610
 17     16     -0.00848       0.02518
 17     17     -0.01672       0.02557
 18    -18      0.02837       0.02346
 18    -17      0.02108       0.02360
 18    -16      0.01689       0.02432
 18    -15     -0.05099       0.02392
 18    -14     -0.03637       0.02358
 18    -13     -0.03729       0.02360
 18    -12     -0.03175       0.02355
 18    -11     -0.02969       0.02468
 18    -10     -0.00384       0.02452
 18     -9      0.00706       0.02491
 18     -8      0.01882       0.02478
 18     -7     -0.01596       0.02546
 18     -6     -0.00279       0.02622
 18     -5      0.00095       0.02702
 18     -4     -0.02234       0.02773
 18     -3     -0.01821       0.02860
 18     -2      0.02938       0.02894
 18     -1     -0.05700       0.02627
 18      0      0.04639       0.02860
 18      1     -0.03325       0.02993
 18      2      0.00924       0.02866
 18      3      0.05139       0.02835
 18      4     -0.00932       0.02812
 18      5     -0.05086       0.02667
 18      6      0.02775       0.02598
 18      7      0.03137       0.02547
 18      8     -0.05269       0.02487
 18      9     -0.03922       0.02469
 18     10     -0.05024       0.02477
 18     11     -0.01871       0.02400
 18     12     -0.01790       0.02420
 18     13     -0.00346       0.02370
 18     14      0.00665       0.02365
 18     15      0.00845       0.02404
 18     16      0.01997       0.02425
 18     17     -0.01752       0.02358
 18     18     -0.02713       0.02429
 19    -19      0.00119       0.02241
 19    -18     -0.01752       0.02180
 19    -17     -0.01142       0.02273
 19    -16      0.00115       0.02269
 19    -15     -0.00766       0.02223
 19    -14     -0.03715       0.02214
 19    -13     -0.06690       0.02209
 19    -12      0.01095       0.02248
 19    -11      0.02394       0.02303
 19    -10     -0.05450       0.02306
 19     -9     -0.03113       0.02326
 19     -8      0.04429       0.02338
 19     -7      0.03538       0.02406
 19     -6     -0.01980       0.02455
 19     -5     -0.00915       0.02561
 19     -4      0.01215       0.02586
 19     -3     -0.04870       0.02687
 19     -2      0.01251       0.02673
 19     -1     -0.02583       0.02469
 19      0     -0.03391       0.02653
 19      1      0.02493       0.02797
 19      2     -0.01742       0.02650
 19      3     -0.01275       0.02667
 19      4      0.04450       0.02628
 19      5      0.02182       0.02535
 19      6      0.05723       0.02437
 19      7      0.03179       0.02398
 19      8     -0.00855       0.02339
 19      9     -0.02613       0.02288
 19     10     -0.00891       0.02314
 19     11      0.04737       0.02273
 19     12     -0.00473       0.02274
 19     13     -0.00519       0.02232
 19     14      0.02506       0.02210
 19     15      0.02596       0.02203
 19     16     -0.02304       0.02234
 19     17     -0.00688       0.02264
 19     18     -0.05133       0.02232
 19     19      0.01253       0.02238
 20    -20      0.00976       0.02143
 20    -19     -0.01660       0.02087
 20    -18      0.00870       0.02121
 20    -17      0.03373       0.02116
 20    -16      0.00575       0.02086
 20    -15     -0.02847       0.02069
 20    -14     -0.00843       0.02076
 20    -13      0.05254       0.02104
 20    -12     -0.05163       0.02122
 20    -11     -0.03002       0.02169
 20    -10      0.04780       0.02163
 20     -9     -0.01440       0.02163
 20     -8     -0.06883       0.02219
 20     -7     -0.03165       0.02247
 20     -6      0.04316       0.02329
 20     -5      0.03240       0.02407
 20     -4      0.02123       0.02444
 20     -3      0.00065       0.02515
 20     -2     -0.03433       0.02494
 20     -1      0.00366       0.02322
 20      0      0.06069       0.02479
 20      1     -0.04640       0.02598
 20      2      0.04762       0.02471
 20      3     -0.00222       0.02484
 20      4     -0.06155       0.02472
 20      5     -0.03113       0.02380
 20      6      0.01463       0.02324
 20      7      0.00579       0.02251
 20      8      0.02183       0.02220
 20      9      0.05376       0.02164
 20     10      0.00153       0.02153
 20     11     -0.06685       0.02140
 20     12      0.02259       0.02140
 20     13      0.05445       0.02111
 20     14     -0.06306       0.02070
 20     15      0.00775       0.02083
 20     16      0.01868       0.02072
 20     17      0.02466       0.02117
 20     18      0.03163       0.02125
 20     19     -0.01711       0.02051
 20     20      0.03189       0.02067
 21    -21     -0.00341       0.01994
 21    -20     -0.01584       0.01974
 21    -19     -0.05081       0.01990
 21    -18      0.01790       0.01985
 21    -17      0.00419       0.01961
 21    -16     -0.00579       0.01960
 21    -15      0.05271       0.01928
 21    -14      0.02243       0.01965
 21    -13      0.00402       0.01985
 21    -12     -0.02172       0.02009
 21    -11     -0.00579       0.02028
 21    -10      0.02277       0.02022
 21     -9     -0.02651       0.02056
 21     -8     -0.02672       0.02088
 21     -7      0.03984       0.02128
 21     -6     -0.02945       0.02210
 21     -5     -0.00910       0.02267
 21     -4      0.02018       0.02305
 21     -3      0.01886       0.02346
 21     -2     -0.00695       0.02324
 21     -1     -0.01400       0.02160
 21      0      0.00824       0.02322
 21      1     -0.06149       0.02443
 21      2     -0.04112       0.02322
 21      3      0.04135       0.02327
 21      4      0.02173       0.02329
 21      5      0.01041       0.02248
 21      6      0.00389       0.02196
 21      7     -0.07116       0.02138
 21      8      0.00756       0.02083
 21      9      0.02939       0.02059
 21     10      0.00151       0.02010
 21     11     -0.00103       0.02020
 21     12      0.00019       0.02014
 21     13      0.02478       0.01997
 21     14      0.01604       0.01975
 21     15     -0.02011       0.01957
 21     16     -0.00565       0.01948
 21     17      0.03188       0.01952
 21     18     -0.03300       0.02000
 21     19     -0.03753       0.01993
 21     20      0.00170       0.01917
 21     21      0.01103       0.01972
 22    -22     -0.05844       0.01877
 22    -21     -0.00889       0.01840
 22    -20      0.01660       0.01892
 22    -19      0.03218       0.01876
 22    -18     -0.00908       0.01833
 22    -17     -0.01693       0.01847
 22    -16      0.01812       0.01837
 22    -15      0.06869       0.01833
 22    -14      0.02814       0.01872
 22    -13      0.00835       0.01880
 22    -12     -0.03816       0.01897
 22    -11     -0.02531       0.01902
 22    -10     -0.00703       0.01917
 22     -9     -0.01706       0.01948
 22     -8      0.02509       0.01969
 22     -7      0.00157       0.02029
 22     -6      0.02864       0.02090
 22     -5     -0.03594       0.02148
 22     -4     -0.00059       0.02170
 22     -3      0.01447       0.02199
 22     -2     -0.01564       0.02185
 22     -1     -0.03846       0.02040
 22      0     -0.01814       0.02175
 22      1     -0.02410       0.02287
 22      2     -0.00707       0.02167
 22      3     -0.00591       0.02184
 22      4     -0.01641       0.02192
 22      5      0.00016       0.02124
 22      6      0.01314       0.02076
 22      7     -0.00669       0.02029
 22      8     -0.00669       0.01972
 22      9      0.03283       0.01940
 22     10      0.03451       0.01910
 22     11     -0.01323       0.01880
 22     12     -0.00836       0.01906
 22     13      0.00514       0.01884
 22     14      0.01402       0.01860
 22     15      0.00494       0.01859
 22     16     -0.01023       0.01817
 22     17     -0.02933       0.01839
 22     18      0.00903       0.01857
 22     19     -0.00871       0.01883
 22     20      0.01320       0.01852
 22     21      0.03836       0.01827
 22     22     -0.00032       0.01865
 23    -23     -0.01091       0.01775
 23    -22     -0.03175       0.01731
 23    -21     -0.00196       0.01764
 23    -20      0.00721       0.01785
 23    -19     -0.00624       0.01739
 23    -18      0.02658       0.01718
 23    -17      0.00306       0.01723
 23    -16     -0.01150       0.01739
 23    -15      0.00077       0.01745
 23    -14      0.00149       0.01763
 23    -13     -0.03785       0.01784
 23    -12      0.00846       0.01783
 23    -11      0.01628       0.01795
 23    -10      0.00767       0.01809
 23     -9      0.00403       0.01840
 23     -8     -0.01244       0.01870
 23     -7      0.01251       0.01922
 23     -6     -0.00423       0.01976
 23     -5     -0.00654       0.02031
 23     -4     -0.02269       0.02043
 23     -3     -0.01867       0.02064
 23     -2      0.01161       0.02049
 23     -1     -0.01967       0.01926
 23      0     -0.04010       0.02039
 23      1      0.00413       0.02152
 23      2      0.00460       0.02036
 23      3      0.01312       0.02054
 23      4     -0.01901       0.02067
 23      5     -0.01867       0.02013
